,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
180,36.94956401,AXIS Bank Limited,0,0,2,0,0,0,0,0,10,0,0,0,0,4,6,0,0,0
181,36.94956401,Bendigo and Adelaide Bank Limited,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
182,73.9328093,"Benesse Holdings, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
183,87.40422465,Best Buy Co Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
184,15.30492838,Bharat Forge Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185,83.50110319,Bharat Petroleum Corporation Limited,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0
186,34.72396866,Bharti Airtel Ltd,0,0,0,0,0,0,0,0,6,0,0,0,0,1,14,0,0,0
187,65.70894204,Biomarin Pharmaceutical Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188,95.31999754,Biogen Inc.,0,0,0,0,0,0,0,3,6,0,0,0,0,2,13,0,0,0
189,8.623262555,BlackBerry Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190,27.60505255,"BlackRock, Inc.",0,2,5,0,0,0,0,0,3,0,0,0,0,4,14,0,0,0
191,62.78126282,Bollore,0,0,2,0,0,0,0,1,0,8,0,0,0,1,20,0,0,0
192,8.191451745,Booking Holdings Inc,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0
193,47.70279751,Boral Limited,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0
194,47.70279751,Orica Limited,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0
195,53.13507114,"Boston Properties, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
196,30.40322682,Boston Scientific Corporation,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,0,12,0
197,67.31609673,Bouygues SA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
198,56.74064314,Brambles Limited,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
199,81.35683663,Brenntag AG,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
200,41.94321451,Bridgestone Corp.,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0
201,46.42552774,Bristol-Myers Squibb Company,0,1,0,0,0,0,0,1,4,0,0,0,0,1,2,10,0,0
202,22.84963182,British American Tobacco p.l.c.,0,0,0,0,0,0,0,1,4,8,0,0,0,6,1,35,0,0
203,94.16129072,British Land Company Plc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
204,0.36368356,"Broadcom, Inc.",0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0
205,40.1226277,Brookfield Asset Management Inc.,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
206,45.67635528,Burberry Group PLC,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
207,93.91081938,Bureau Veritas SA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
208,19.96460686,"C.H. Robinson Worldwide, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,97.84726357,"CBRE Group, Inc.",0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0
210,65.00098781,CBS Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0
211,71.23291033,Accor SA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0
212,71.23291033,CCR S.A.,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
